TrainingType,BrainTypeVegan,SurvivorPercentageVegan,SurvivorAvgAgeVegan,BrainTypeCarnivore,SurvivorPercentageCarnivore,SurvivorAvgAgeCarnivore
veg_POCA__carn_POCA,POCA,0.633333300,8214.267000000,POCA,0.666666700,8806.400000000
veg_POCA__carn_POCA,POCA,0.666666700,8011.200000000,POCA,0.466666669,8466.533000000
veg_POCA__carn_POCA,POCA,0.866666700,9206.467000000,POCA,0.666666700,9311.533000000
veg_POCA__carn_POCA,POCA,0.733333349,8321.967000000,POCA,0.733333349,8749.134000000
veg_POCA__carn_POCA,POCA,0.733333349,8493.333000000,POCA,0.933333337,9541.866000000
veg_POCA__carn_POCA,POCA,0.600000000,7299.100000000,POCA,0.800000000,9172.733000000
veg_POCA__carn_POCA,POCA,0.766666651,8439.634000000,POCA,0.400000000,7176.333500000
veg_POCA__carn_POCA,POCA,0.900000000,9470.333000000,POCA,0.466666669,7891.000000000
veg_POCA__carn_POCA,POCA,0.800000000,8658.667000000,POCA,0.600000000,8734.467000000
veg_POCA__carn_POCA,POCA,0.800000000,9161.100000000,POCA,0.733333349,8846.934000000
veg_POCA__carn_POCA,POCA,0.833333300,9130.267000000,POCA,0.600000000,8744.934000000
veg_POCA__carn_POCA,POCA,0.800000000,8607.833000000,POCA,0.733333349,9708.733000000
veg_POCA__carn_PPO,POCA,0.666666700,7331.800000000,PPO,0.000000000,3930.733400000
veg_POCA__carn_PPO,POCA,0.633333300,7555.766600000,PPO,0.000000000,4941.666500000
veg_POCA__carn_PPO,POCA,0.400000000,5869.433000000,PPO,0.066666670,5309.400000000
veg_POCA__carn_PPO,POCA,0.500000000,6625.433000000,PPO,0.000000000,4554.067000000
veg_POCA__carn_PPO,POCA,0.600000000,7199.600000000,PPO,0.133333340,4429.400000000
veg_POCA__carn_PPO,POCA,0.500000000,6446.866700000,PPO,0.066666670,4653.133300000
veg_POCA__carn_PPO,POCA,0.766666651,8115.833500000,PPO,0.066666670,3776.866700000
veg_POCA__carn_PPO,POCA,0.400000000,6146.500000000,PPO,0.066666670,5765.266600000
veg_POCA__carn_PPO,POCA,0.500000000,6793.833500000,PPO,0.066666670,5140.333500000
veg_POCA__carn_PPO,POCA,0.500000000,6341.600000000,PPO,0.066666670,4782.600000000
veg_POCA__carn_PPO,POCA,0.366666675,5591.133300000,PPO,0.200000000,5274.733400000
veg_POCA__carn_PPO,POCA,0.600000000,7407.500000000,PPO,0.133333340,5507.666500000
veg_POCA__carn_PPO,POCA,0.600000000,7410.300000000,PPO,0.000000000,4923.200000000
veg_POCA__carn_PPO,POCA,0.466666669,6090.200000000,PPO,0.200000000,5342.933000000
veg_POCA__carn_PPO,POCA,0.400000000,5576.433000000,PPO,0.133333340,5010.533000000
veg_POCA__carn_PPO,POCA,0.466666669,6450.800000000,PPO,0.066666670,5191.800000000
veg_POCA__carn_PPO,POCA,0.600000000,7138.166500000,PPO,0.066666670,4741.533000000
veg_POCA__carn_PPO,POCA,0.566666663,6726.967000000,PPO,0.066666670,4640.467000000
veg_POCA__carn_PPO,POCA,0.566666663,6500.200000000,PPO,0.133333340,5188.000000000
veg_POCA__carn_PPO,POCA,0.433333337,5800.200000000,PPO,0.200000000,6039.133300000
veg_POCA__carn_PPO,POCA,0.666666700,7622.233400000,PPO,0.066666670,5364.933000000
veg_POCA__carn_PPO,POCA,0.633333300,7019.100000000,PPO,0.000000000,4372.133300000
veg_POCA__carn_PPO,POCA,0.466666669,5728.866700000,PPO,0.066666670,4714.067000000
veg_POCA__carn_PPO,POCA,0.300000000,5532.100000000,PPO,0.266666681,6428.400000000
veg_POCA__carn_PPO,POCA,0.666666700,7593.733400000,PPO,0.000000000,3829.133300000
veg_POCA__carn_PPO,POCA,0.666666700,7306.733400000,PPO,0.000000000,4455.933000000
veg_POCA__carn_PPO,POCA,0.600000000,7133.733400000,PPO,0.000000000,4271.533000000
veg_POCA__carn_PPO,POCA,0.500000000,6847.833500000,PPO,0.066666670,4664.666500000
veg_POCA__carn_PPO,POCA,0.666666700,7401.300000000,PPO,0.000000000,4244.200000000
veg_POCA__carn_PPO,POCA,0.566666663,6799.400000000,PPO,0.000000000,4861.400000000
veg_POCA__carn_PPO,POCA,0.433333337,5951.033000000,PPO,0.000000000,5461.666500000
veg_POCA__carn_PPO,POCA,0.633333300,7406.433000000,PPO,0.066666670,4866.800000000
veg_POCA__carn_PPO,POCA,0.500000000,6347.266600000,PPO,0.133333340,5569.533000000
veg_POCA__carn_PPO,POCA,0.500000000,6247.833500000,PPO,0.000000000,4866.266600000
veg_POCA__carn_PPO,POCA,0.533333361,6185.567000000,PPO,0.000000000,4077.866700000
veg_POCA__carn_PPO,POCA,0.700000000,8472.233000000,PPO,0.133333340,6012.133300000
veg_POCA__carn_PPO,POCA,0.533333361,6378.300000000,PPO,0.000000000,3535.400000000
veg_POCA__carn_PPO,POCA,0.566666663,6597.433000000,PPO,0.000000000,4858.067000000
veg_POCA__carn_PPO,POCA,0.466666669,5930.300000000,PPO,0.066666670,5173.333500000
veg_POCA__carn_PPO,POCA,0.633333300,7405.000000000,PPO,0.066666670,4139.666500000
veg_POCA__carn_PPO,POCA,0.566666663,7413.400000000,PPO,0.133333340,4970.533000000
veg_POCA__carn_PPO,POCA,0.433333337,5779.233400000,PPO,0.133333340,5298.200000000
veg_POCA__carn_PPO,POCA,0.266666681,5555.166500000,PPO,0.133333340,6372.067000000
veg_POCA__carn_PPO,POCA,0.433333337,5885.333500000,PPO,0.066666670,4566.133300000
veg_POCA__carn_PPO,POCA,0.366666675,5197.800000000,PPO,0.266666681,5858.933000000
veg_POCA__carn_PPO,POCA,0.733333349,7755.100000000,PPO,0.000000000,3791.933350000
veg_POCA__carn_PPO,POCA,0.666666700,7314.200000000,PPO,0.066666670,4273.866700000
veg_POCA__carn_PPO,POCA,0.700000000,7858.633300000,PPO,0.000000000,3954.466550000
veg_POCA__carn_PPO,POCA,0.633333300,7257.833500000,PPO,0.066666670,4894.266600000
veg_POCA__carn_PPO,POCA,0.600000000,7255.067000000,PPO,0.066666670,4421.533000000
veg_POCA__carn_PPO,POCA,0.700000000,7829.666500000,PPO,0.066666670,4772.133300000
veg_POCA__carn_PPO,POCA,0.566666663,6799.433000000,PPO,0.066666670,4024.400000000
veg_POCA__carn_PPO,POCA,0.533333361,7094.533000000,PPO,0.066666670,4721.866700000
veg_POCA__carn_PPO,POCA,0.533333361,6755.866700000,PPO,0.066666670,5064.933000000
veg_POCA__carn_PPO,POCA,0.600000000,6852.600000000,PPO,0.000000000,4856.933000000
veg_POCA__carn_PPO,POCA,0.600000000,7084.433000000,PPO,0.000000000,4496.067000000
veg_POCA__carn_PPO,POCA,0.566666663,6698.067000000,PPO,0.066666670,4767.800000000
veg_POCA__carn_PPO,POCA,0.766666651,8372.767000000,PPO,0.000000000,4068.733400000
veg_POCA__carn_PPO,POCA,0.633333300,7475.266600000,PPO,0.066666670,4827.933000000
veg_POCA__carn_PPO,POCA,0.733333349,8293.333000000,PPO,0.133333340,4569.333500000
veg_POCA__carn_PPO,POCA,0.500000000,6036.266600000,PPO,0.000000000,5281.600000000
veg_POCA__carn_PPO,POCA,0.433333337,6064.600000000,PPO,0.000000000,4543.933000000
veg_POCA__carn_PPO,POCA,0.433333337,6649.567000000,PPO,0.200000000,5846.733400000
veg_POCA__carn_PPO,POCA,0.366666675,5104.467000000,PPO,0.200000000,5531.533000000
veg_POCA__carn_PPO,POCA,0.733333349,8241.134000000,PPO,0.133333340,4325.600000000
veg_POCA__carn_PPO,POCA,0.733333349,7949.700000000,PPO,0.000000000,3736.066650000
veg_POCA__carn_PPO,POCA,0.700000000,7917.900000000,PPO,0.066666670,4431.266600000
veg_POCA__carn_PPO,POCA,0.600000000,7338.800000000,PPO,0.066666670,4613.400000000
veg_POCA__carn_PPO,POCA,0.433333337,5644.067000000,PPO,0.066666670,5265.333500000
veg_POCA__carn_PPO,POCA,0.566666663,7136.000000000,PPO,0.066666670,5493.467000000
veg_POCA__carn_PPO,POCA,0.733333349,8234.866000000,PPO,0.000000000,4547.067000000
veg_POCA__carn_PPO,POCA,0.566666663,7070.533000000,PPO,0.133333340,4781.400000000
veg_POCA__carn_PPO,POCA,0.566666663,6788.533000000,PPO,0.000000000,4022.266600000
veg_POCA__carn_PPO,POCA,0.633333300,7285.833500000,PPO,0.133333340,4787.600000000
veg_POCA__carn_PPO,POCA,0.566666663,6931.967000000,PPO,0.066666670,4334.067000000
veg_POCA__carn_PPO,POCA,0.433333337,5726.933000000,PPO,0.133333340,5662.933000000
veg_POCA__carn_PPO,POCA,0.766666651,8022.433000000,PPO,0.000000000,3713.400000000
veg_POCA__carn_PPO,POCA,0.533333361,6350.300000000,PPO,0.066666670,4028.066650000
veg_POCA__carn_PPO,POCA,0.566666663,6377.433000000,PPO,0.000000000,3699.866700000
veg_POCA__carn_PPO,POCA,0.766666651,8254.800000000,PPO,0.000000000,4889.933000000
veg_POCA__carn_PPO,POCA,0.600000000,6936.067000000,PPO,0.000000000,4611.800000000
veg_POCA__carn_PPO,POCA,0.700000000,7600.266600000,PPO,0.000000000,4164.733400000
veg_POCA__carn_PPO,POCA,0.666666700,7443.467000000,PPO,0.000000000,4146.600000000
veg_POCA__carn_PPO,POCA,0.633333300,7340.166500000,PPO,0.000000000,4537.800000000
veg_POCA__carn_PPO,POCA,0.333333343,5297.700000000,PPO,0.200000000,5468.067000000
veg_POCA__carn_PPO,POCA,0.600000000,6892.166500000,PPO,0.000000000,4227.333500000
veg_POCA__carn_PPO,POCA,0.600000000,6952.733400000,PPO,0.133333340,4970.000000000
veg_POCA__carn_PPO,POCA,0.733333349,7965.533000000,PPO,0.000000000,4326.067000000
veg_POCA__carn_PPO,POCA,0.633333300,7029.800000000,PPO,0.066666670,5349.600000000
veg_POCA__carn_PPO,POCA,0.500000000,6295.500000000,PPO,0.133333340,4736.733400000
veg_POCA__carn_PPO,POCA,0.466666669,6486.400000000,PPO,0.133333340,4706.467000000
veg_POCA__carn_PPO,POCA,0.633333300,7311.300000000,PPO,0.000000000,4012.866700000
veg_POCA__carn_PPO,POCA,0.633333300,7731.266600000,PPO,0.133333340,5512.067000000
veg_POCA__carn_PPO,POCA,0.566666663,6516.600000000,PPO,0.066666670,4862.400000000
veg_POCA__carn_PPO,POCA,0.400000000,5832.433000000,PPO,0.200000000,5964.800000000
veg_POCA__carn_PPO,POCA,0.500000000,6435.633300000,PPO,0.066666670,5042.200000000
veg_POCA__carn_PPO,POCA,0.433333337,6716.833500000,PPO,0.133333340,5379.933000000
veg_POCA__carn_PPO,POCA,0.700000000,7598.433000000,PPO,0.000000000,4328.133300000
veg_POCA__carn_PPO,POCA,0.866666700,8855.400000000,PPO,0.000000000,3184.866700000
veg_POCA__carn_PPO,POCA,0.600000000,7051.033000000,PPO,0.133333340,4326.733400000
veg_POCA__carn_SAC,POCA,0.900000000,9480.833000000,SAC,0.066666670,6250.266600000
veg_POCA__carn_SAC,POCA,0.800000000,9332.934000000,SAC,0.200000000,6052.000000000
